Item Code,Item Description,Spec Book,Unit,Statewide 12-Mo Moving Avg ($),Statewide 3-Mo Moving Avg ($),Engineer Estimate Avg ($),Min Bid Price ($),Max Bid Price ($),Total Awarded Qty (12-Mo),Total Awarded Value ($),Category
"0275-6029","CEMENT STAB BASE (TY 29)","2024/2014","SY",6.6,6.8,6.2,3,291.2,12060,79596,"200 Subgrade & Base"
"0275-6030","CEMENT STAB BASE (TY 30)","2024/2014","TON",6.9,7.31,6.49,3.06,299,13630,94047,"200 Subgrade & Base"
"0275-6031","CEMENT STAB BASE (TY 31)","2024/2014","SY",7.2,6.77,6.77,3.12,260,15200,109440,"200 Subgrade & Base"
"0275-6032","CEMENT STAB BASE (TY 32)","2024/2014","TON",7.5,7.28,7.05,3.18,267.8,16770,125775,"200 Subgrade & Base"
"0275-6033","CEMENT STAB BASE (TY 33)","2024/2014","SY",7.8,7.8,7.33,3,275.6,18340,143052,"200 Subgrade & Base"
"0275-6034","CEMENT STAB BASE (TY 34)","2024/2014","TON",8.1,8.34,7.61,3.06,283.4,19910,161271,"200 Subgrade & Base"
"0275-6035","CEMENT STAB BASE (TY 35)","2024/2014","SY",8.4,8.9,7.9,3.12,291.2,21480,180432,"200 Subgrade & Base"
"0275-6036","CEMENT STAB BASE (TY 36)","2024/2014","TON",6.6,6.2,6.2,3.18,299,23050,152130,"200 Subgrade & Base"
"0275-6037","CEMENT STAB BASE (TY 37)","2024/2014","SY",6.9,6.69,6.49,3,260,13820,95358,"200 Subgrade & Base"
"0275-6038","CEMENT STAB BASE (TY 38)","2024/2014","TON",7.2,7.2,6.77,3.06,267.8,15390,110808,"200 Subgrade & Base"
"0275-6039","CEMENT STAB BASE (TY 39)","2024/2014","SY",7.5,7.72,7.05,3.12,275.6,16960,127200,"200 Subgrade & Base"
"0275-6040","CEMENT STAB BASE (TY 40)","2024/2014","TON",7.8,8.27,7.33,3.18,283.4,18530,144534,"200 Subgrade & Base"
"0275-6041","CEMENT STAB BASE (TY 41)","2024/2014","SY",8.1,7.61,7.61,3,291.2,20100,162810,"200 Subgrade & Base"
"0275-6042","CEMENT STAB BASE (TY 42)","2024/2014","TON",8.4,8.15,7.9,3.06,299,21670,182028,"200 Subgrade & Base"
"0275-6043","CEMENT STAB BASE (TY 43)","2024/2014","SY",6.6,6.6,6.2,3.12,260,23240,153384,"200 Subgrade & Base"
"0275-6044","CEMENT STAB BASE (TY 44)","2024/2014","TON",6.9,7.11,6.49,3.18,267.8,24810,171189,"200 Subgrade & Base"
"0275-6045","CEMENT STAB BASE (TY 45)","2024/2014","SY",7.2,7.63,6.77,3,275.6,26380,189936,"200 Subgrade & Base"
"0275-6046","CEMENT STAB BASE (TY 46)","2024/2014","TON",7.5,7.05,7.05,3.06,283.4,17150,128625,"200 Subgrade & Base"
"0275-6047","CEMENT STAB BASE (TY 47)","2024/2014","SY",7.8,7.57,7.33,3.12,291.2,18720,146016,"200 Subgrade & Base"
"0275-6048","CEMENT STAB BASE (TY 48)","2024/2014","TON",8.1,8.1,7.61,3.18,299,20290,164349,"200 Subgrade & Base"
"0275-6049","CEMENT STAB BASE (TY 49)","2024/2014","SY",8.4,8.65,7.9,3,260,21860,183624,"200 Subgrade & Base"
"0275-6050","CEMENT STAB BASE (TY 50)","2024/2014","TON",6.6,7,6.2,3.06,267.8,23430,154638,"200 Subgrade & Base"
"0275-6051","CEMENT STAB BASE (TY 51)","2024/2014","SY",6.9,6.49,6.49,3.12,275.6,25000,172500,"200 Subgrade & Base"
"0275-6052","CEMENT STAB BASE (TY 52)","2024/2014","TON",7.2,6.98,6.77,3.18,283.4,26570,191304,"200 Subgrade & Base"
"0275-6053","CEMENT STAB BASE (TY 53)","2024/2014","SY",7.5,7.5,7.05,3,291.2,28140,211050,"200 Subgrade & Base"
"0275-6054","CEMENT STAB BASE (TY 54)","2024/2014","TON",7.8,8.03,7.33,3.06,299,29710,231738,"200 Subgrade & Base"
"0275-6055","CEMENT STAB BASE (TY 55)","2024/2014","SY",8.1,8.59,7.61,3.12,260,20480,165888,"200 Subgrade & Base"
"0275-6056","CEMENT STAB BASE (TY 56)","2024/2014","TON",8.4,7.9,7.9,3.18,267.8,22050,185220,"200 Subgrade & Base"
"0275-6057","CEMENT STAB BASE (TY 57)","2024/2014","SY",6.6,6.4,6.2,3,275.6,23620,155892,"200 Subgrade & Base"
"0275-6058","CEMENT STAB BASE (TY 58)","2024/2014","TON",6.9,6.9,6.49,3.06,283.4,25190,173811,"200 Subgrade & Base"
"0275-6059","CEMENT STAB BASE (TY 59)","2024/2014","SY",7.2,7.42,6.77,3.12,291.2,26760,192672,"200 Subgrade & Base"
"0275-6060","CEMENT STAB BASE (TY 60)","2024/2014","TON",7.5,7.95,7.05,3.18,299,28330,212475,"200 Subgrade & Base"
"0275-6061","CEMENT STAB BASE (TY 61)","2024/2014","SY",7.8,7.33,7.33,3,260,29900,233220,"200 Subgrade & Base"
"0275-6062","CEMENT STAB BASE (TY 62)","2024/2014","TON",8.1,7.86,7.61,3.06,267.8,31470,254907,"200 Subgrade & Base"
"0275-6063","CEMENT STAB BASE (TY 63)","2024/2014","SY",8.4,8.4,7.9,3.12,275.6,33040,277536,"200 Subgrade & Base"
"0275-6064","CEMENT STAB BASE (TY 64)","2024/2014","TON",6.6,6.8,6.2,3.18,283.4,23810,157146,"200 Subgrade & Base"
"0275-6065","CEMENT STAB BASE (TY 65)","2024/2014","SY",6.9,7.31,6.49,3,291.2,25380,175122,"200 Subgrade & Base"
"0275-6066","CEMENT STAB BASE (TY 66)","2024/2014","TON",7.2,6.77,6.77,3.06,299,26950,194040,"200 Subgrade & Base"
"0275-6067","CEMENT STAB BASE (TY 67)","2024/2014","SY",7.5,7.28,7.05,3.12,260,28520,213900,"200 Subgrade & Base"
"0275-6068","CEMENT STAB BASE (TY 68)","2024/2014","TON",7.8,7.8,7.33,3.18,267.8,30090,234702,"200 Subgrade & Base"
"0275-6069","CEMENT STAB BASE (TY 69)","2024/2014","SY",8.1,8.34,7.61,3,275.6,31660,256446,"200 Subgrade & Base"
"0275-6070","CEMENT STAB BASE (TY 70)","2024/2014","TON",8.4,8.9,7.9,3.06,283.4,33230,279132,"200 Subgrade & Base"
"0275-6071","CEMENT STAB BASE (TY 71)","2024/2014","SY",6.6,6.2,6.2,3.12,291.2,34800,229680,"200 Subgrade & Base"
"0275-6072","CEMENT STAB BASE (TY 72)","2024/2014","TON",6.9,6.69,6.49,3.18,299,36370,250953,"200 Subgrade & Base"
"0275-6073","CEMENT STAB BASE (TY 73)","2024/2014","SY",7.2,7.2,6.77,3,260,27140,195408,"200 Subgrade & Base"
"0275-6074","CEMENT STAB BASE (TY 74)","2024/2014","TON",7.5,7.72,7.05,3.06,267.8,28710,215325,"200 Subgrade & Base"
"0275-6075","CEMENT STAB BASE (TY 75)","2024/2014","SY",7.8,8.27,7.33,3.12,275.6,30280,236184,"200 Subgrade & Base"
"0275-6076","CEMENT STAB BASE (TY 76)","2024/2014","TON",8.1,7.61,7.61,3.18,283.4,31850,257985,"200 Subgrade & Base"
"0275-6077","CEMENT STAB BASE (TY 77)","2024/2014","SY",8.4,8.15,7.9,3,291.2,33420,280728,"200 Subgrade & Base"
"0275-6078","CEMENT STAB BASE (TY 78)","2024/2014","TON",6.6,6.6,6.2,3.06,299,34990,230934,"200 Subgrade & Base"
"0275-6079","CEMENT STAB BASE (TY 79)","2024/2014","SY",6.9,7.11,6.49,3.12,260,36560,252264,"200 Subgrade & Base"
"0275-6080","CEMENT STAB BASE (TY 80)","2024/2014","TON",7.2,7.63,6.77,3.18,267.8,38130,274536,"200 Subgrade & Base"
"0275-6081","CEMENT STAB BASE (TY 81)","2024/2014","SY",7.5,7.05,7.05,3,275.6,39700,297750,"200 Subgrade & Base"
"0275-6082","CEMENT STAB BASE (TY 82)","2024/2014","TON",7.8,7.57,7.33,3.06,283.4,30470,237666,"200 Subgrade & Base"
"0275-6083","CEMENT STAB BASE (TY 83)","2024/2014","SY",8.1,8.1,7.61,3.12,291.2,32040,259524,"200 Subgrade & Base"
"0275-6084","CEMENT STAB BASE (TY 84)","2024/2014","TON",8.4,8.65,7.9,3.18,299,33610,282324,"200 Subgrade & Base"
"0275-6085","CEMENT STAB BASE (TY 85)","2024/2014","SY",6.6,7,6.2,3,260,35180,232188,"200 Subgrade & Base"
"0276-6001","CEMENT TREATMENT (PLANT-MIXED) (TY 1)","2024/2014","SY",12.76,11.99,11.99,6.5,145,500,6380,"200 Subgrade & Base"
"0276-6002","CEMENT TREATMENT (PLANT-MIXED) (TY 2)","2024/2014","TON",13.34,12.94,12.54,6.63,149.35,2070,27613.8,"200 Subgrade & Base"
"0276-6003","CEMENT TREATMENT (PLANT-MIXED) (TY 3)","2024/2014","SY",13.92,13.92,13.08,6.76,153.7,3640,50668.8,"200 Subgrade & Base"
"0276-6004","CEMENT TREATMENT (PLANT-MIXED) (TY 4)","2024/2014","TON",14.5,14.94,13.63,6.89,158.05,5210,75545,"200 Subgrade & Base"
"0276-6005","CEMENT TREATMENT (PLANT-MIXED) (TY 5)","2024/2014","SY",15.08,15.98,14.18,6.5,162.4,6780,102242.4,"200 Subgrade & Base"
"0276-6006","CEMENT TREATMENT (PLANT-MIXED) (TY 6)","2024/2014","TON",15.66,14.72,14.72,6.63,166.75,8350,130761,"200 Subgrade & Base"
"0276-6007","CEMENT TREATMENT (PLANT-MIXED) (TY 7)","2024/2014","SY",16.24,15.75,15.27,6.76,145,9920,161100.8,"200 Subgrade & Base"
"0276-6008","CEMENT TREATMENT (PLANT-MIXED) (TY 8)","2024/2014","TON",12.76,12.76,11.99,6.89,149.35,11490,146612.4,"200 Subgrade & Base"
"0276-6009","CEMENT TREATMENT (PLANT-MIXED) (TY 9)","2024/2014","SY",13.34,13.74,12.54,6.5,153.7,13060,174220.4,"200 Subgrade & Base"
"0276-6010","CEMENT TREATMENT (PLANT-MIXED) (TY 10)","2024/2014","TON",13.92,14.76,13.08,6.63,158.05,3830,53313.6,"200 Subgrade & Base"
"0276-6011","CEMENT TREATMENT (PLANT-MIXED) (TY 11)","2024/2014","SY",14.5,13.63,13.63,6.76,162.4,5400,78300,"200 Subgrade & Base"
"0276-6012","CEMENT TREATMENT (PLANT-MIXED) (TY 12)","2024/2014","TON",15.08,14.63,14.18,6.89,166.75,6970,105107.6,"200 Subgrade & Base"
"0276-6013","CEMENT TREATMENT (PLANT-MIXED) (TY 13)","2024/2014","SY",15.66,15.66,14.72,6.5,145,8540,133736.4,"200 Subgrade & Base"
"0276-6014","CEMENT TREATMENT (PLANT-MIXED) (TY 14)","2024/2014","TON",16.24,16.73,15.27,6.63,149.35,10110,164186.4,"200 Subgrade & Base"
"0276-6015","CEMENT TREATMENT (PLANT-MIXED) (TY 15)","2024/2014","SY",12.76,13.53,11.99,6.76,153.7,11680,149036.8,"200 Subgrade & Base"
"0276-6016","CEMENT TREATMENT (PLANT-MIXED) (TY 16)","2024/2014","TON",13.34,12.54,12.54,6.89,158.05,13250,176755,"200 Subgrade & Base"
"0276-6017","CEMENT TREATMENT (PLANT-MIXED) (TY 17)","2024/2014","SY",13.92,13.5,13.08,6.5,162.4,14820,206294.4,"200 Subgrade & Base"
"0276-6018","CEMENT TREATMENT (PLANT-MIXED) (TY 18)","2024/2014","TON",14.5,14.5,13.63,6.63,166.75,16390,237655,"200 Subgrade & Base"
"0276-6019","CEMENT TREATMENT (PLANT-MIXED) (TY 19)","2024/2014","SY",15.08,15.53,14.18,6.76,145,7160,107972.8,"200 Subgrade & Base"
"0276-6020","CEMENT TREATMENT (PLANT-MIXED) (TY 20)","2024/2014","TON",15.66,16.6,14.72,6.89,149.35,8730,136711.8,"200 Subgrade & Base"
"0276-6021","CEMENT TREATMENT (PLANT-MIXED) (TY 21)","2024/2014","SY",16.24,15.27,15.27,6.5,153.7,10300,167272,"200 Subgrade & Base"
"0276-6022","CEMENT TREATMENT (PLANT-MIXED) (TY 22)","2024/2014","TON",12.76,12.38,11.99,6.63,158.05,11870,151461.2,"200 Subgrade & Base"
"0276-6023","CEMENT TREATMENT (PLANT-MIXED) (TY 23)","2024/2014","SY",13.34,13.34,12.54,6.76,162.4,13440,179289.6,"200 Subgrade & Base"
"0276-6024","CEMENT TREATMENT (PLANT-MIXED) (TY 24)","2024/2014","TON",13.92,14.34,13.08,6.89,166.75,15010,208939.2,"200 Subgrade & Base"
"0276-6025","CEMENT TREATMENT (PLANT-MIXED) (TY 25)","2024/2014","SY",14.5,15.37,13.63,6.5,145,16580,240410,"200 Subgrade & Base"
"0276-6026","CEMENT TREATMENT (PLANT-MIXED) (TY 26)","2024/2014","TON",15.08,14.18,14.18,6.63,149.35,18150,273702,"200 Subgrade & Base"
"0276-6027","CEMENT TREATMENT (PLANT-MIXED) (TY 27)","2024/2014","SY",15.66,15.19,14.72,6.76,153.7,19720,308815.2,"200 Subgrade & Base"
"0276-6028","CEMENT TREATMENT (PLANT-MIXED) (TY 28)","2024/2014","TON",16.24,16.24,15.27,6.89,158.05,10490,170357.6,"200 Subgrade & Base"
"0276-6029","CEMENT TREATMENT (PLANT-MIXED) (TY 29)","2024/2014","SY",12.76,13.14,11.99,6.5,162.4,12060,153885.6,"200 Subgrade & Base"
"0276-6030","CEMENT TREATMENT (PLANT-MIXED) (TY 30)","2024/2014","TON",13.34,14.14,12.54,6.63,166.75,13630,181824.2,"200 Subgrade & Base"
"0276-6031","CEMENT TREATMENT (PLANT-MIXED) (TY 31)","2024/2014","SY",13.92,13.08,13.08,6.76,145,15200,211584,"200 Subgrade & Base"
"0276-6032","CEMENT TREATMENT (PLANT-MIXED) (TY 32)","2024/2014","TON",14.5,14.06,13.63,6.89,149.35,16770,243165,"200 Subgrade & Base"
"0276-6033","CEMENT TREATMENT (PLANT-MIXED) (TY 33)","2024/2014","SY",15.08,15.08,14.18,6.5,153.7,18340,276567.2,"200 Subgrade & Base"
"0276-6034","CEMENT TREATMENT (PLANT-MIXED) (TY 34)","2024/2014","TON",15.66,16.13,14.72,6.63,158.05,19910,311790.6,"200 Subgrade & Base"
"0276-6035","CEMENT TREATMENT (PLANT-MIXED) (TY 35)","2024/2014","SY",16.24,17.21,15.27,6.76,162.4,21480,348835.2,"200 Subgrade & Base"
"0276-6036","CEMENT TREATMENT (PLANT-MIXED) (TY 36)","2024/2014","TON",12.76,11.99,11.99,6.89,166.75,23050,294118,"200 Subgrade & Base"
"0276-6037","CEMENT TREATMENT (PLANT-MIXED) (TY 37)","2024/2014","SY",13.34,12.94,12.54,6.5,145,13820,184358.8,"200 Subgrade & Base"
"0276-6038","CEMENT TREATMENT (PLANT-MIXED) (TY 38)","2024/2014","TON",13.92,13.92,13.08,6.63,149.35,15390,214228.8,"200 Subgrade & Base"
"0276-6039","CEMENT TREATMENT (PLANT-MIXED) (TY 39)","2024/2014","SY",14.5,14.94,13.63,6.76,153.7,16960,245920,"200 Subgrade & Base"
"0276-6040","CEMENT TREATMENT (PLANT-MIXED) (TY 40)","2024/2014","TON",15.08,15.98,14.18,6.89,158.05,18530,279432.4,"200 Subgrade & Base"
"0276-6041","CEMENT TREATMENT (PLANT-MIXED) (TY 41)","2024/2014","SY",15.66,14.72,14.72,6.5,162.4,20100,314766,"200 Subgrade & Base"
"0276-6042","CEMENT TREATMENT (PLANT-MIXED) (TY 42)","2024/2014","TON",16.24,15.75,15.27,6.63,166.75,21670,351920.8,"200 Subgrade & Base"
"0276-6043","CEMENT TREATMENT (PLANT-MIXED) (TY 43)","2024/2014","SY",12.76,12.76,11.99,6.76,145,23240,296542.4,"200 Subgrade & Base"
"0276-6044","CEMENT TREATMENT (PLANT-MIXED) (TY 44)","2024/2014","TON",13.34,13.74,12.54,6.89,149.35,24810,330965.4,"200 Subgrade & Base"
"0276-6045","CEMENT TREATMENT (PLANT-MIXED) (TY 45)","2024/2014","SY",13.92,14.76,13.08,6.5,153.7,26380,367209.6,"200 Subgrade & Base"
"0292-6001","ASPHALT STAB BASE (TY 1)","2024/2014","TON",80.96,76.1,76.1,62,155,500,40480,"200 Subgrade & Base"
"0292-6002","ASPHALT STAB BASE (TY 2)","2024/2014","TON",84.64,82.1,79.56,63.24,159.65,2070,175204.8,"200 Subgrade & Base"
"0292-6003","ASPHALT STAB BASE (TY 3)","2024/2014","TON",88.32,88.32,83.02,64.48,164.3,3640,321484.8,"200 Subgrade & Base"
"0292-6004","ASPHALT STAB BASE (TY 4)","2024/2014","TON",92,94.76,86.48,65.72,168.95,5210,479320,"200 Subgrade & Base"
"0292-6005","ASPHALT STAB BASE (TY 5)","2024/2014","TON",95.68,101.42,89.94,62,173.6,6780,648710.4,"200 Subgrade & Base"
"0292-6006","ASPHALT STAB BASE (TY 6)","2024/2014","TON",99.36,93.4,93.4,63.24,178.25,8350,829656,"200 Subgrade & Base"
"0292-6007","ASPHALT STAB BASE (TY 7)","2024/2014","TON",103.04,99.95,96.86,64.48,155,9920,1022156.8,"200 Subgrade & Base"
"0292-6008","ASPHALT STAB BASE (TY 8)","2024/2014","TON",80.96,80.96,76.1,65.72,159.65,11490,930230.4,"200 Subgrade & Base"
"0292-6009","ASPHALT STAB BASE (TY 9)","2024/2014","TON",84.64,87.18,79.56,62,164.3,13060,1105398.4,"200 Subgrade & Base"
"0292-6010","ASPHALT STAB BASE (TY 10)","2024/2014","TON",88.32,93.62,83.02,63.24,168.95,3830,338265.6,"200 Subgrade & Base"
"0292-6011","ASPHALT STAB BASE (TY 11)","2024/2014","TON",92,86.48,86.48,64.48,173.6,5400,496800,"200 Subgrade & Base"
"0292-6012","ASPHALT STAB BASE (TY 12)","2024/2014","TON",95.68,92.81,89.94,65.72,178.25,6970,666889.6,"200 Subgrade & Base"
"0292-6013","ASPHALT STAB BASE (TY 13)","2024/2014","TON",99.36,99.36,93.4,62,155,8540,848534.4,"200 Subgrade & Base"
"0292-6014","ASPHALT STAB BASE (TY 14)","2024/2014","TON",103.04,106.13,96.86,63.24,159.65,10110,1041734.4,"200 Subgrade & Base"
"0292-6015","ASPHALT STAB BASE (TY 15)","2024/2014","TON",80.96,85.82,76.1,64.48,164.3,11680,945612.8,"200 Subgrade & Base"
"0292-6016","ASPHALT STAB BASE (TY 16)","2024/2014","TON",84.64,79.56,79.56,65.72,168.95,13250,1121480,"200 Subgrade & Base"
"0292-6017","ASPHALT STAB BASE (TY 17)","2024/2014","TON",88.32,85.67,83.02,62,173.6,14820,1308902.4,"200 Subgrade & Base"
"0292-6018","ASPHALT STAB BASE (TY 18)","2024/2014","TON",92,92,86.48,63.24,178.25,16390,1507880,"200 Subgrade & Base"
"0292-6019","ASPHALT STAB BASE (TY 19)","2024/2014","TON",95.68,98.55,89.94,64.48,155,7160,685068.8,"200 Subgrade & Base"
"0292-6020","ASPHALT STAB BASE (TY 20)","2024/2014","TON",99.36,105.32,93.4,65.72,159.65,8730,867412.8,"200 Subgrade & Base"
"0292-6021","ASPHALT STAB BASE (TY 21)","2024/2014","TON",103.04,96.86,96.86,62,164.3,10300,1061312,"200 Subgrade & Base"
"0292-6022","ASPHALT STAB BASE (TY 22)","2024/2014","TON",80.96,78.53,76.1,63.24,168.95,11870,960995.2,"200 Subgrade & Base"
"0292-6023","ASPHALT STAB BASE (TY 23)","2024/2014","TON",84.64,84.64,79.56,64.48,173.6,13440,1137561.6,"200 Subgrade & Base"
"0292-6024","ASPHALT STAB BASE (TY 24)","2024/2014","TON",88.32,90.97,83.02,65.72,178.25,15010,1325683.2,"200 Subgrade & Base"
"0292-6025","ASPHALT STAB BASE (TY 25)","2024/2014","TON",92,97.52,86.48,62,155,16580,1525360,"200 Subgrade & Base"
"0292-6026","ASPHALT STAB BASE (TY 26)","2024/2014","TON",95.68,89.94,89.94,63.24,159.65,18150,1736592,"200 Subgrade & Base"
"0292-6027","ASPHALT STAB BASE (TY 27)","2024/2014","TON",99.36,96.38,93.4,64.48,164.3,19720,1959379.2,"200 Subgrade & Base"
"0292-6028","ASPHALT STAB BASE (TY 28)","2024/2014","TON",103.04,103.04,96.86,65.72,168.95,10490,1080889.6,"200 Subgrade & Base"
"0292-6029","ASPHALT STAB BASE (TY 29)","2024/2014","TON",80.96,83.39,76.1,62,173.6,12060,976377.6,"200 Subgrade & Base"
"0292-6030","ASPHALT STAB BASE (TY 30)","2024/2014","TON",84.64,89.72,79.56,63.24,178.25,13630,1153643.2,"200 Subgrade & Base"
"0292-6031","ASPHALT STAB BASE (TY 31)","2024/2014","TON",88.32,83.02,83.02,64.48,155,15200,1342464,"200 Subgrade & Base"
"0292-6032","ASPHALT STAB BASE (TY 32)","2024/2014","TON",92,89.24,86.48,65.72,159.65,16770,1542840,"200 Subgrade & Base"
"0292-6033","ASPHALT STAB BASE (TY 33)","2024/2014","TON",95.68,95.68,89.94,62,164.3,18340,1754771.2,"200 Subgrade & Base"
"0292-6034","ASPHALT STAB BASE (TY 34)","2024/2014","TON",99.36,102.34,93.4,63.24,168.95,19910,1978257.6,"200 Subgrade & Base"
"0292-6035","ASPHALT STAB BASE (TY 35)","2024/2014","TON",103.04,109.22,96.86,64.48,173.6,21480,2213299.2,"200 Subgrade & Base"
"0292-6036","ASPHALT STAB BASE (TY 36)","2024/2014","TON",80.96,76.1,76.1,65.72,178.25,23050,1866128,"200 Subgrade & Base"
"0292-6037","ASPHALT STAB BASE (TY 37)","2024/2014","TON",84.64,82.1,79.56,62,155,13820,1169724.8,"200 Subgrade & Base"
"0292-6038","ASPHALT STAB BASE (TY 38)","2024/2014","TON",88.32,88.32,83.02,63.24,159.65,15390,1359244.8,"200 Subgrade & Base"
"0292-6039","ASPHALT STAB BASE (TY 39)","2024/2014","TON",92,94.76,86.48,64.48,164.3,16960,1560320,"200 Subgrade & Base"
"0292-6040","ASPHALT STAB BASE (TY 40)","2024/2014","TON",95.68,101.42,89.94,65.72,168.95,18530,1772950.4,"200 Subgrade & Base"
"0292-6041","ASPHALT STAB BASE (TY 41)","2024/2014","TON",99.36,93.4,93.4,62,173.6,20100,1997136,"200 Subgrade & Base"
"0292-6042","ASPHALT STAB BASE (TY 42)","2024/2014","TON",103.04,99.95,96.86,63.24,178.25,21670,2232876.8,"200 Subgrade & Base"
"0292-6043","ASPHALT STAB BASE (TY 43)","2024/2014","TON",80.96,80.96,76.1,64.48,155,23240,1881510.4,"200 Subgrade & Base"
"0292-6044","ASPHALT STAB BASE (TY 44)","2024/2014","TON",84.64,87.18,79.56,65.72,159.65,24810,2099918.4,"200 Subgrade & Base"
"0292-6045","ASPHALT STAB BASE (TY 45)","2024/2014","TON",88.32,93.62,83.02,62,164.3,26380,2329881.6,"200 Subgrade & Base"
"0292-6046","ASPHALT STAB BASE (TY 46)","2024/2014","TON",92,86.48,86.48,63.24,168.95,17150,1577800,"200 Subgrade & Base"
"0292-6047","ASPHALT STAB BASE (TY 47)","2024/2014","TON",95.68,92.81,89.94,64.48,173.6,18720,1791129.6,"200 Subgrade & Base"
"0292-6048","ASPHALT STAB BASE (TY 48)","2024/2014","TON",99.36,99.36,93.4,65.72,178.25,20290,2016014.4,"200 Subgrade & Base"
"0292-6049","ASPHALT STAB BASE (TY 49)","2024/2014","TON",103.04,106.13,96.86,62,155,21860,2252454.4,"200 Subgrade & Base"
"0292-6050","ASPHALT STAB BASE (TY 50)","2024/2014","TON",80.96,85.82,76.1,63.24,159.65,23430,1896892.8,"200 Subgrade & Base"
"0310-6001","PRIME COAT (TY 1)","2024/2014","GAL",4.49,4.22,4.22,3.2,9.2,500,2245,"300 Surface Courses"
"0310-6002","PRIME COAT (TY 2)","2024/2014","GAL",4.69,4.55,4.41,3.26,9.48,2070,9708.3,"300 Surface Courses"
"0310-6003","PRIME COAT (TY 3)","2024/2014","GAL",4.9,4.9,4.61,3.33,9.75,3640,17836,"300 Surface Courses"
"0310-6004","PRIME COAT (TY 4)","2024/2014","GAL",5.1,5.25,4.79,3.39,10.03,5210,26571,"300 Surface Courses"
"0310-6005","PRIME COAT (TY 5)","2024/2014","GAL",5.3,5.62,4.98,3.2,10.3,6780,35934,"300 Surface Courses"
"0310-6006","PRIME COAT (TY 6)","2024/2014","GAL",5.51,5.18,5.18,3.26,10.58,8350,46008.5,"300 Surface Courses"
"0310-6007","PRIME COAT (TY 7)","2024/2014","GAL",5.71,5.54,5.37,3.33,9.2,9920,56643.2,"300 Surface Courses"
"0310-6008","PRIME COAT (TY 8)","2024/2014","GAL",4.49,4.49,4.22,3.39,9.48,11490,51590.1,"300 Surface Courses"
"0310-6009","PRIME COAT (TY 9)","2024/2014","GAL",4.69,4.83,4.41,3.2,9.75,13060,61251.4,"300 Surface Courses"
"0310-6010","PRIME COAT (TY 10)","2024/2014","GAL",4.9,5.19,4.61,3.26,10.03,3830,18767,"300 Surface Courses"
"0310-6011","PRIME COAT (TY 11)","2024/2014","GAL",5.1,4.79,4.79,3.33,10.3,5400,27540,"300 Surface Courses"
"0310-6012","PRIME COAT (TY 12)","2024/2014","GAL",5.3,5.14,4.98,3.39,10.58,6970,36941,"300 Surface Courses"
"0310-6013","PRIME COAT (TY 13)","2024/2014","GAL",5.51,5.51,5.18,3.2,9.2,8540,47055.4,"300 Surface Courses"
"0310-6014","PRIME COAT (TY 14)","2024/2014","GAL",5.71,5.88,5.37,3.26,9.48,10110,57728.1,"300 Surface Courses"
"0310-6015","PRIME COAT (TY 15)","2024/2014","GAL",4.49,4.76,4.22,3.33,9.75,11680,52443.2,"300 Surface Courses"
"0310-6016","PRIME COAT (TY 16)","2024/2014","GAL",4.69,4.41,4.41,3.39,10.03,13250,62142.5,"300 Surface Courses"
"0310-6017","PRIME COAT (TY 17)","2024/2014","GAL",4.9,4.75,4.61,3.2,10.3,14820,72618,"300 Surface Courses"
"0310-6018","PRIME COAT (TY 18)","2024/2014","GAL",5.1,5.1,4.79,3.26,10.58,16390,83589,"300 Surface Courses"
"0310-6019","PRIME COAT (TY 19)","2024/2014","GAL",5.3,5.46,4.98,3.33,9.2,7160,37948,"300 Surface Courses"
"0310-6020","PRIME COAT (TY 20)","2024/2014","GAL",5.51,5.84,5.18,3.39,9.48,8730,48102.3,"300 Surface Courses"
"0310-6021","PRIME COAT (TY 21)","2024/2014","GAL",5.71,5.37,5.37,3.2,9.75,10300,58813,"300 Surface Courses"
"0310-6022","PRIME COAT (TY 22)","2024/2014","GAL",4.49,4.36,4.22,3.26,10.03,11870,53296.3,"300 Surface Courses"
"0310-6023","PRIME COAT (TY 23)","2024/2014","GAL",4.69,4.69,4.41,3.33,10.3,13440,63033.6,"300 Surface Courses"
"0310-6024","PRIME COAT (TY 24)","2024/2014","GAL",4.9,5.05,4.61,3.39,10.58,15010,73549,"300 Surface Courses"
"0310-6025","PRIME COAT (TY 25)","2024/2014","GAL",5.1,5.41,4.79,3.2,9.2,16580,84558,"300 Surface Courses"
"0310-6026","PRIME COAT (TY 26)","2024/2014","GAL",5.3,4.98,4.98,3.26,9.48,18150,96195,"300 Surface Courses"
"0310-6027","PRIME COAT (TY 27)","2024/2014","GAL",5.51,5.34,5.18,3.33,9.75,19720,108657.2,"300 Surface Courses"
"0310-6028","PRIME COAT (TY 28)","2024/2014","GAL",5.71,5.71,5.37,3.39,10.03,10490,59897.9,"300 Surface Courses"
"0310-6029","PRIME COAT (TY 29)","2024/2014","GAL",4.49,4.62,4.22,3.2,10.3,12060,54149.4,"300 Surface Courses"
"0310-6030","PRIME COAT (TY 30)","2024/2014","GAL",4.69,4.97,4.41,3.26,10.58,13630,63924.7,"300 Surface Courses"
"0310-6031","PRIME COAT (TY 31)","2024/2014","GAL",4.9,4.61,4.61,3.33,9.2,15200,74480,"300 Surface Courses"
"0310-6032","PRIME COAT (TY 32)","2024/2014","GAL",5.1,4.95,4.79,3.39,9.48,16770,85527,"300 Surface Courses"
